timestamp,machine_id,power_kw,production_rate_ppm,temperature_c,sec_kwh_per_unit,is_anomaly
2026-09-10 09:01:24.926560,Machine_A,2.15,11,37.8,11.725,0
2026-09-10 09:01:24.926560,Machine_B,3.94,9,50.7,26.281,0
2026-09-10 09:01:24.926560,Machine_C,2.64,8,40.8,19.777,0
2026-09-10 09:02:24.926560,Machine_A,2.11,10,37.8,12.648,0
2026-09-10 09:02:24.926560,Machine_B,3.63,8,46.9,27.193,0
2026-09-10 09:02:24.926560,Machine_C,2.4,9,39.6,16.022,0
2026-09-10 09:03:24.926560,Machine_A,2.06,11,36.9,11.221,0
2026-09-10 09:03:24.926560,Machine_B,4.24,10,47.5,25.438,0
2026-09-10 09:03:24.926560,Machine_C,2.4,7,40.4,20.54,0
2026-09-10 09:04:24.926560,Machine_A,1.98,11,38.6,10.827,0
2026-09-10 09:04:24.926560,Machine_B,5.38,9,62.4,35.841,1
2026-09-10 09:04:24.926560,Machine_C,2.4,9,38.9,15.987,0
2026-09-10 09:05:24.926560,Machine_A,2.06,10,36.3,12.368,0
2026-09-10 09:05:24.926560,Machine_B,3.42,9,50.2,22.803,0
2026-09-10 09:05:24.926560,Machine_C,2.33,8,40.1,17.481,0
2026-09-10 09:06:24.926560,Machine_A,2.12,11,39.3,11.574,0
2026-09-10 09:06:24.926560,Machine_B,3.77,8,47.4,28.24,0
2026-09-10 09:06:24.926560,Machine_C,2.33,7,41.1,19.979,0
2026-09-10 09:07:24.926560,Machine_A,2.13,9,37.4,14.216,0
2026-09-10 09:07:24.926560,Machine_B,3.79,8,47.4,28.402,0
2026-09-10 09:07:24.926560,Machine_C,2.55,7,40.9,21.897,0
2026-09-10 09:08:24.926560,Machine_A,2.17,10,38.3,13.019,0
2026-09-10 09:08:24.926560,Machine_B,3.35,10,50.2,20.085,0
2026-09-10 09:08:24.926560,Machine_C,2.58,8,39.1,19.327,0
2026-09-10 09:09:24.926560,Machine_A,2.09,9,39.5,13.952,0
2026-09-10 09:09:24.926560,Machine_B,3.52,9,49.6,23.466,0
2026-09-10 09:09:24.926560,Machine_C,2.01,8,40.8,15.053,0
2026-09-10 09:10:24.926560,Machine_A,1.96,11,37.6,10.701,0
2026-09-10 09:10:24.926560,Machine_B,4.59,9,45.9,30.6,0
2026-09-10 09:10:24.926560,Machine_C,2.53,7,42.3,21.693,0
2026-09-10 09:11:24.926560,Machine_A,2.02,10,37.2,12.115,0
2026-09-10 09:11:24.926560,Machine_B,3.36,8,49.8,25.199,0
2026-09-10 09:11:24.926560,Machine_C,2.32,8,40.5,17.404,0
2026-09-10 09:12:24.926560,Machine_A,2.07,11,39.1,11.267,0
2026-09-10 09:12:24.926560,Machine_B,3.71,8,49.3,27.804,0
2026-09-10 09:12:24.926560,Machine_C,2.2,8,39.0,16.482,0
2026-09-10 09:13:24.926560,Machine_A,1.83,9,38.5,12.23,0
2026-09-10 09:13:24.926560,Machine_B,3.47,10,49.8,20.827,0
2026-09-10 09:13:24.926560,Machine_C,2.45,7,38.5,20.959,0
2026-09-10 09:14:24.926560,Machine_A,2.1,10,38.0,12.591,0
